Concepts,Annotator 1,Annotator 2,Annotator 3
['cluster cardinality'],1,1,1
['k-means'],1,1,1
['rss'],1,1,1
['distortion'],1,1,1
['model complexity'],1,1,1
"['clustering', 'clusterings']",1,1,1
['clusters'],1,1,1
['akaike information criterion'],1,1,1
['aic'],1,1,1
['negative maximum log-likelihood'],1,1,1
['vector space'],1,1,1
['text clustering'],1,1,1
['information retrieval'],1,1,1
['k clusters'],0,0,0
['heuristic method'],1,1,1
['documents'],1,1,1
['hard assignment'],1,1,1
['covariance matrices'],1,1,1
['data sets'],0,1,1
['cluster cardinality in k-means'],1,1,1
['flat clustering algorithms'],1,1,1
['objective function'],1,1,1
['centroids'],1,1,1
['gaussian mixture'],1,1,1
