Concepts,Annotator 1,Annotator 2,Annotator 3
['query likelihood model'],1,1,1
['query likelihood language models'],1,1,1
['ir'],1,1,1
"['language modeling', 'language models', 'language model']",1,1,1
['language modeling'],1,1,1
"['document', 'documents']",1,1,1
['collection'],1,1,1
['likelihood'],1,1,1
['bayes rule'],1,1,1
['prior probability'],1,1,1
['query generation process'],1,1,1
['multinomial unigram language model'],1,1,1
['multinomial coefficient'],1,1,1
['query'],1,1,1
['lm'],1,1,1
['random process'],1,1,1
['query terms'],1,1,1
['collection statistics'],1,1,1
['document model'],1,1,1
['multinomial naive bayes model'],1,1,1
['language modeling approach'],1,1,1
['generation of queries'],0,0,0
['prototype document'],0,0,0
['intuition of the basic model'],0,0,0
['terms'],1,1,1
