concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['information retrieval'],1,1,1,1,1,1,
['document retrieval'],1,0,1,1,1,1,
"['grepping', 'grep']",1,1,1,1,1,1,
['wildcard pattern matching'],1,1,1,1,1,1,
"['collections', 'collection']",1,1,1,1,1,1,
['linearly scanning'],1,0,0,0,0,0,only consider the context 
['index'],1,1,1,1,1,1,
['term-document incidence matrix'],1,0,1,1,1,1,
"['terms', 'term']",1,1,1,1,1,1,
"['query', 'querying']",1,1,1,1,1,1,
['boolean retrieval model'],1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
['retrieval system'],1,0,1,1,1,1,
['corpus'],1,1,1,1,1,1,
['ad hoc retrieval'],1,1,1,1,1,1,
['information need'],1,0,1,1,1,1,explained in the book
"['relevant', 'relevance']",1,1,1,1,1,1,
['precision'],1,1,1,1,1,1,
['recall'],1,1,1,1,1,1,
['inverted index'],1,1,1,1,1,1,
['inverted file'],1,1,1,1,1,1,
['dictionary'],1,1,1,1,1,1,
['lexicon'],1,1,1,1,1,1,
['vocabulary'],1,1,1,1,1,1,
['pattern matching'],0,1,0,0,1,1,cs concept or IR concept
"['document collections', 'document collection']",0,1,1,1,1,1,
['ranked retrieval'],0,1,1,1,1,1,
['incidence matrix'],0,1,1,1,1,1,
['indexed units'],0,1,0,0,0,0,"used to explain the highlighted concept, it is not a concept"
['matrix'],0,1,0,0,0,0,math domain
['boolean'],0,1,0,0,0,0,cs domain
['model'],0,1,0,0,0,0,cs domain
['topic'],0,1,0,0,0,0,nlp domain
['effectiveness'],0,1,1,1,1,1,
['term-document matrix'],0,1,1,1,1,1,
['sparse matrix'],0,1,0,1,1,1,cs domain
"['posting', 'postings']",0,1,1,1,1,1,
['postings list'],0,1,1,1,1,1,
['inverted list'],0,1,1,1,1,1,
['text'],0,0,1,0,0,0,
['regular expressions'],0,0,1,0,0,0,cd domain
['matching'],0,0,1,0,0,0,
['binary term-document incidence matrix'],0,0,1,1,1,1,
"['vector', 'vectors']",0,0,1,0,0,0,consider the context
['boolean expression'],0,0,1,0,0,0,cd domain
['ir'],0,0,1,1,1,1,
['relevant documents'],0,0,1,1,1,1,
['ir system'],0,0,1,1,1,1,same as information retieval 
