Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
['information retrieval'],1,1,1,1,1,1,
"['documents', 'document']",1,1,1,1,1,1,
"['collections', 'collection']",1,0,1,1,1,1,
['database-style searching'],1,0,0,1,1,1,concept in CS domain not IR domain? 
['unstructured data'],1,1,1,1,1,1,
['structured data'],1,0,1,1,1,1,
['relational database'],1,0,0,1,1,1,
['latent linguistic structure'],1,0,0,1,1,1,
['clustering'],1,1,0,1,1,1,
['web search'],1,1,1,1,1,1,
['indexing'],1,1,1,1,1,1,
['personal information retrieval'],1,1,1,1,1,1,
['text classification'],1,1,0,1,1,1,
['term-document matrix'],1,1,1,1,1,1,
['central inverted index data structure'],1,0,1,0,0,0,
['boolean retrieval model'],1,1,1,1,1,1,
['boolean queries'],1,1,1,1,1,1,
['data'],0,1,0,0,0,0,
['human language'],0,1,0,0,0,0,different meaning in other domains
['classification'],0,1,1,1,1,1,
['information retrieval systems'],0,1,1,1,1,1,
['domain specific search'],0,1,0,0,1,0,
['centralized file systems'],0,1,0,1,1,1,concept in CS domain but not IR domain
['inverted index'],0,1,0,1,1,1,
['ir'],0,0,1,,,,IR and information retrieval sould be the same phrase
['text data'],0,0,1,0,0,0,
['search'],0,0,1,1,1,1,
['retrieved documents'],0,0,1,1,0,1,document is a concept; 
['rankings'],0,0,1,1,1,1,
['spam'],0,0,1,0,0,0,consider the context 
['terms'],0,0,1,1,1,1,
['personal search'],0,0,1,1,1,1,1. same as document and retrieved document; 2 only consider the context or the term that has been explained in the course
['structure'],0,0,1,0,0,0,
['semistructured search'],0,0,1,1,1,1,
