Concept,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
"['multinomial distributions', 'multinomial distribution']",1,1,1,1,1,1,
['unigram language model'],1,1,1,1,1,1,
['unigram models'],1,1,1,1,1,1,
"['language model', 'language models']",1,1,1,1,1,1,
['multinomial probability'],1,1,1,1,1,1,
['bag of words'],1,1,1,1,1,1,
['multinomial coefficient'],1,1,1,1,1,1,
['document'],1,1,1,1,1,1,
['term vocabulary'],1,1,1,1,1,1,
['vocabulary'],1,1,0,1,1,1,
['likelihood ratio'],1,1,1,1,1,1,
['speech recognition'],1,1,1,1,1,1,
['ir'],1,1,1,1,1,1,
['model distribution'],1,1,1,1,1,1,
['query'],1,1,1,1,1,1,
['bag of words models'],1,1,0,1,1,1,
['terms'],1,1,1,1,1,1,
['multinomial model'],1,1,1,1,1,1,
['training sample'],1,0,1,1,1,1,
['fine-grained topic'],0,0,1,0,0,0,
