 ,Mengdi,Nidhi,Mingyan,Mengdi (after),Nidhi (after),Mingyan (after),Notes
"['documents', 'document']",1,1,1,1,1,1,
['query'],1,1,1,1,1,1,
"['snippet', 'snippets']",1,1,1,1,1,1,
['relevance'],1,1,1,1,1,1,
['static summary'],1,1,1,1,1,1,
"['dynamic summary', 'dynamic summaries']",1,1,1,1,1,1,
['metadata'],1,1,1,1,1,1,
['html page'],1,1,1,1,1,1,
['indexing time'],1,0,0,0,0,0,
['text summarization'],1,1,1,1,1,1,
['document frequency'],1,1,1,1,1,1,
['collection'],1,1,1,1,1,1,
['nlp approaches'],1,1,1,1,1,1,
['query terms'],1,1,1,1,1,1,
['keyword-in-context'],1,1,1,1,1,1,
['nlp techniques'],1,1,1,1,1,1,
"['ir systems', 'ir system']",1,1,1,1,1,1,
['ir system design'],1,1,1,1,1,1,
['index time'],1,1,0,0,1,0,
['kwic'],1,1,1,1,1,1,
['terms'],1,1,1,1,1,1,
"['index', 'indexer']",1,1,1,1,1,1,
['ranking'],0,1,1,1,1,1,
"['zones', 'zone']",1,1,1,1,1,1,
['search results'],0,1,0,0,0,0,
['positional factors'],0,1,0,0,0,0,
['keyword-in-context snippets'],0,1,1,1,1,1,
['scoring'],1,1,1,1,1,1,
['positional index'],1,1,1,1,1,1,
['caching'],0,1,1,1,1,1,
['cache'],0,1,1,1,1,1,
['crawler'],1,1,1,1,1,1,
['summary'],0,1,0,0,1,0,
['results snippets'],0,0,1,1,1,1,
['information need'],1,1,1,1,1,1,
['natural language processing'],1,1,1,1,1,1,
['query-independent information value'],1,1,1,1,1,1,
['static summarization'],1,1,1,1,1,1,
['search engine'],1,1,1,1,1,1,
['disk drives'],0,0,1,1,1,1,
['information security'],1,1,1,1,1,1,
['kwic snippet'],1,1,1,1,1,1,
['document summary'],0,1,1,1,1,1,
